"";"rownames.mat."
"206";"Black_September"
"207";"the_1972_Olympic_Games"
"208";"a_New_Year_'s_Eve"
"209";"the_Harlem_Festival_Orchestra"
"210";"East_57th_Street"
"211";"the_New_Year_Bring_New_Politics"
"212";"World_War_I._Some"
"213";"the_Meech_Lake_Accord"
"214";"Black_South_Africans"
"215";"the_Rumanian_revolution"
"216";"The_Sunday_Star_of_Johannesburg"
"217";"the_Soviet_Constitution"
"218";"The_Great_Patriotic_War"
"219";"the_proletarian_revolution"
"220";"the_1959_revolution"
"221";"The_Week"
"222";"the_Staten_Island_Ferry_'s"
"223";"the_Liberal_Revolution"
"224";"World_Wars"
"225";"the_French_Revolution"
"226";"the_Hungarian_Democratic_Forum"
"227";"The_South_-_West_Africa_People_'s_Organization"
"228";"the_Opium_War"
"229";"October_War"
"230";"Geneva_49"
"231";"the_Iraqi_Mission"
"232";"the_cold_war_balance_of_terror"
"233";"World_War_I._Challenge"
"234";"the_four_World_War_II"
"235";"the_War_Romania"
"236";"the_December_revolution"
"237";"Sabbath"
"238";"the_Grand_Rabbi_of_Lubavitch"
"239";"the_English_Civil_War"
"240";"Popular_Resistance_and_Victory"
"241";"the_Chinese"
"242";"the_1917_Bolshevik_Revolution"
"243";"the_Old_Days_Since"
"244";"the_Czechoslovak_revolution"
"245";"the_Christian_Quarter"
"246";"the_1905_Revolution"
"247";"St._Jean_-_Baptiste_parade"
"248";"World_Cup"
"249";"World_Cup_a_Distraction"
"250";"the_World_War_I"
"251";"Heady_Days"
"252";"party_congress_-"
"253";"the_World_Cup"
"254";"the_Gang_-_William_Rodgers"
"255";"the_Great_October_Revolution"
"256";"the_Falklands_War"
"257";"Islamic_revolution"
"258";"The_Nairobi_Law"
"259";"post_-_war"
"260";"the_World_Festival_of_Youth_and_Students"
"261";"Congressional_District"
"262";"Grammy_Awards"
"263";"East_79th_Street"
"264";"the_City_Charter"
"265";"the_Staten_Island_Conservative_Party"
"266";"Pinochet_years"
"267";"the_1974_Helsinki_Code_on_Human_Rights"
"268";"the_Mozambique_National_Resistance"
"269";"World_War_I._King_Adapts_an_Old_Honorific"
"270";"the_National_Resistance_of_Mozambique"
"271";"Inauguration_Day"
"272";"Asian_Games"
"273";"the_Asian_Games"
"274";"the_Undecided_Vote_The_telephone_poll_of"
"275";"-_Vietnam_War"
"276";"the_Decade_of_the_Child"
"277";"the_Gulf_Crisis_Until_the_Gulf_crisis"
"278";"The_Asian_Games"
"279";"the_Boer_war"
"280";"Revolution_Day"
"281";"the_Revolution_Day_parade"
"282";"Moscow_City_Communist_Party_Conference"
"283";"the_1945_revolution_they"
"284";"the_June_4_crackdown"
"285";"the_Battle_of_Britain"
"286";"New_Freedom_Others"
"287";"the_gulf_war"
"288";"the_Communist_revolution"
"289";"a_gulf_war"
"290";"Gulf_War"
"291";"the_500_Days_Plan"
"292";"the_Shadows_Throughout"
"293";"Opposition_Urged_New_Policy"
"294";"the_Indonesian_Constitution"
"295";"Inner_Circle_Show"
"296";"the_Persian_Gulf_war"
"297";"the_South_-_West_Africa_People_'s_Organization_against_South_Africa"
"298";"Palm_Sunday_Masses"
"299";"the_Iraqi_Presidential_Guards"
"300";"the_Communist_Government"
"301";"the_1979_revolution"
"302";"the_""_war_of_laws"
"303";"Business_Day"
"304";"Week_of_Coal_Strike_Reports"
"305";"the_""_Summit_of_the_Presidents_"""
"306";"the_Islamic_revolution"
"307";"Plenary_Session"
"308";"the_Cannes_Film_Festival"
"309";"the_cold_war_rivalry"
"310";"Hurricane_Hugo"
"311";"the_May_1_Square"
"312";"the_Gulf_war"
"313";"Falklands_war"
"314";"The_Communist_Revolution"
"315";"Thousand_-_Year_Reich"
"316";"A_Rough_Year_'"
"317";"September_Talks"
"318";"the_World_War_II_Allies"
"319";"CANOPY"
"320";"the_1967_Arab_-_Israeli_war"
"321";"the_1917_Revolution"
"322";"the_contra_war_on_foreign_intervention"
"323";"The_Russian_Revolution"
"324";"the_Gorbachev_revolution"
"325";"Running_Out_of_Gas"
"326";"the_19th_Party_Conference"
"327";"another_Cold_War"
"328";"the_Mongol_horde"
"329";"Turkic"
"330";"the_Barcelona_Olympics"
"331";"the_Great_Fatherland_World_War"
"332";"Spanish_Constitution"
"333";"Summer_olympics"
"334";"the_Meech_Lake_Agreement"
"335";"Hurricane_Bob"
"336";"Russian_Revolution"
"337";"World_'s_Fair"
"338";"1955_Freedom_Charter"
"339";"the_1987_Constitution"
"340";"the_Staten_Island_Ferry"
"341";"Managua_'s_Revolution_Plaza"
"342";"the_Pittsburgh_Agreement"
"343";"the_Euro_-_Asian_Commonwealth_of_Independent_States"
"344";"the_May_Day_parade"
"345";"the_Romanian_revolution"
"346";"the_""_Earth_Summit_"""
"347";"Holy_War"
"348";"Environmental_Quality_Bond_Act"
"349";"the_Year_of_Spain"
"350";"the_Haitian_revolution"
"351";"the_Ten_Days_of_Dawn"
"352";"the_Industrial_Revolution"
"353";"the_Vietnam_war"
"354";"the_gulf_war_'s"
"355";"the_American_South"
"356";"the_Falkland_War"
"357";"the_1967_Middle_East_War"
"358";"the_Great_Game"
"359";"The_Great_Game"
"360";"the_Iranian_Resistance_People_'s_Mujahedeen"
"361";"Iranian_New_Year"
"362";"the_Iran_-_Iraq_war"
"363";"Islamic_Holy_War"
"364";"antipoverty"
"365";"the_Second_World_War"
"366";"the_Velvet_Revolution"
"367";"Velvet_Revolution"
"368";"The_Staten_Island_Advance"
"369";"the_Public_Security_Resort"
"370";"the_May_Day_Parade"
"371";"Folha"
"372";"the_civil_war_ended"
"373";"the_""_third_force_"""
"374";"the_1910_revolution"
"375";"The_Olympic_Games"
"376";"the_1967_war"
"377";"the_civil_war_reserved_equal"
"378";"Expo"
"379";"the_Japanese_Government_day"
"380";"September_International_Fair"
"381";"the_Iraq_-_Iran_war"
"382";"the_grand_Revolution_Day"
"383";"The_New_Social_Studies"
"384";"The_1956_revolution"
"385";"A_Prison_Wing"
"386";"the_Eighth_Legislative_District"
"387";"the_Westchester_Black_Women_'s_Political_Caucus"
"388";"the_World_War_II_Nazi"
"389";"The_cold_war"
"390";"the_December_Congress"
"391";"Opium_War"
"392";"Black_Women"
"393";"a_French_Revolution"
"394";"Next_Session_Pushed_Back"
"395";"Camp_David"
"396";"the_1967"
"397";"the_Balkan_war"
"398";"the_Bosnian_war"
"399";"the_Olympic_Stadium"
"400";"New_York_State_Constitution"
"401";"World_Series"
"402";"The_Day_the_Movement_Ended"
"403";"A_Disappointing_Year"
"404";"the_Popular_Arab_Islamic_Conference"
"405";"Worst_Week"
"406";"A_Week_of_Uncertainty_A"
"407";"the_1972_Olympics"
"408";"the_Battle_of_the_Boyne"
"409";"the_cold_-_war"
"410";"the_Tokyo_War_Crimes"
"411";"World_War_I._Boisterous_Debate"
"412";"the_Persian_Gulf_War"
"413";"the_First_World_War"
"414";"Winter_Olympics"
"415";"the_New_Holy_War"
"416";"The_gulf_war"
"417";"Sandinista_revolution"
"418";"the_Biafran_civil_war"
"419";"the_Menachem_Begin_-_Yitzhak_Shamir"
"420";"the_Nonparty_Bloc"
"421";"Easter"
"422";"Tokyo_Sexwale"
"423";"the_Nonparty_Bloc_to_Support_Reform"
"424";"Governors_Island"
"425";"Komeito"
"426";"Foot_Regiment"
"427";"the_Battle_of_Albuera"
"428";"the_Ming_Dynasty"
"429";"the_Vietnam_years"
"430";"City_of_Staten_Island"
"431";"Fifty_Years"
"432";"the_2000_Olympic_Games"
"433";"War_of_Independence"
"434";"A_New_Dictatorship"
"435";"New_Years_Day"
"436";"The_Crucial_Arab_Precincts"
"437";"the_Afghan_War"
"438";"German_Unity_Day"
"439";"the_Veterans_Day_Parade"
"440";"the_National_Day_of_Mourning"
"441";"World_War_I._Allied"
"442";"the_cold_-_war_years"
"443";"Flushing_Meadows_-_Corona_Park"
"444";"Drawing_New_Boundaries"
"445";"Thanksgiving_Day_Parade"
"446";"Eighth_Street"
"447";"The_New_Year_'s_Eve"
"448";"the_Year_of_Balladur"
"449";"the_New_Year_'s"
"450";"the_Great_Continuer"
"451";"Civil_War_New_York"
"452";"a_New_Year_'s"
"453";"Speak_Out"
"454";"The_Staten_Islander"
"455";"the_14th_Amendment"
"456";"Lesbian_Olympic_Games"
"457";"Sixty_Years_of_Struggle_to_Survive"
"458";"the_Freedom_Pole"
"459";"Geneva_Conventions"
"460";"East_163d_Street"
"461";"East_13th_Street"
"462";"the_""_Democracy_Wall_""_movement_of_the"
"463";"winter_Olympics"
"464";"Bicentennial"
"465";"Golden_Week"
"466";"Hungarian_Democratic_Forum"
"467";"Barcelona_Olympics"
"468";"the_Nuremberg_war_crimes_tribunal"
